Within 144 hours, totally generated 41 parts (including 1 initial parts).,
  ID: P1, Type: ('High', 'Large'), Arrival time: 0.00h, Length: 98.36mm, Width: 91.07mm, Height: 112.48mm, Volume: 110693.07mm3, Support: 5181.05mm3, Due: 28.04h, Price: 560.55CNY, 
  ID: P26, Type: ('Low', 'Large'), Arrival time: 93.92h, Length: 90.10mm, Width: 78.79mm, Height: 83.96mm, Volume: 87720.34mm3, Support: 25327.86mm3, Due: 116.49h, Price: 509.84CNY, 
  ID: P27, Type: ('High', 'Large'), Arrival time: 94.17h, Length: 83.24mm, Width: 76.70mm, Height: 108.39mm, Volume: 54311.84mm3, Support: 601.02mm3, Due: 118.27h, Price: 382.34CNY, 
  ID: P28, Type: ('High', 'Large'), Arrival time: 95.39h, Length: 83.42mm, Width: 68.38mm, Height: 120.32mm, Volume: 53444.56mm3, Support: 14562.56mm3, Due: 121.81h, Price: 413.45CNY, 
  ID: P29, Type: ('Low', 'Large'), Arrival time: 96.48h, Length: 71.50mm, Width: 82.98mm, Height: 74.65mm, Volume: 65799.99mm3, Support: 4778.17mm3, Due: 115.71h, Price: 398.08CNY, 
  ID: P30, Type: ('Low', 'Large'), Arrival time: 98.01h, Length: 92.05mm, Width: 74.59mm, Height: 89.07mm, Volume: 75114.40mm3, Support: 8287.74mm3, Due: 120.26h, Price: 459.21CNY, 
  ID: P31, Type: ('High', 'Long'), Arrival time: 103.03h, Length: 84.53mm, Width: 36.34mm, Height: 121.08mm, Volume: 49665.05mm3, Support: 4779.47mm3, Due: 129.10h, Price: 390.68CNY, 
  ID: P32, Type: ('High', 'Small'), Arrival time: 103.08h, Length: 34.69mm, Width: 53.03mm, Height: 106.22mm, Volume: 23010.98mm3, Support: 114.51mm3, Due: 125.06h, Price: 218.01CNY, 
  ID: P33, Type: ('Low', 'Large'), Arrival time: 103.26h, Length: 74.22mm, Width: 88.17mm, Height: 83.74mm, Volume: 36952.50mm3, Support: 7659.56mm3, Due: 122.48h, Price: 363.00CNY, 
  ID: P34, Type: ('High', 'Large'), Arrival time: 114.29h, Length: 97.89mm, Width: 71.25mm, Height: 112.89mm, Volume: 66225.03mm3, Support: 2254.44mm3, Due: 139.85h, Price: 460.01CNY, 
  ID: P35, Type: ('Low', 'Small'), Arrival time: 116.81h, Length: 62.58mm, Width: 41.93mm, Height: 97.49mm, Volume: 29673.71mm3, Support: 7275.01mm3, Due: 137.91h, Price: 273.22CNY, 
  ID: P36, Type: ('Low', 'Large'), Arrival time: 118.28h, Length: 84.32mm, Width: 74.73mm, Height: 85.17mm, Volume: 31831.62mm3, Support: 8567.95mm3, Due: 137.48h, Price: 342.82CNY, 
  ID: P37, Type: ('High', 'Long'), Arrival time: 120.74h, Length: 77.97mm, Width: 44.97mm, Height: 130.01mm, Volume: 55890.41mm3, Support: 15041.96mm3, Due: 148.93h, Price: 405.89CNY, 
  ID: P38, Type: ('Low', 'Large'), Arrival time: 125.16h, Length: 92.66mm, Width: 88.07mm, Height: 96.24mm, Volume: 45875.02mm3, Support: 2224.42mm3, Due: 146.81h, Price: 391.60CNY, 
  ID: P39, Type: ('High', 'Long'), Arrival time: 126.69h, Length: 66.97mm, Width: 36.72mm, Height: 129.95mm, Volume: 37179.43mm3, Support: 56.46mm3, Due: 153.41h, Price: 301.14CNY, 
  ID: P40, Type: ('High', 'Large'), Arrival time: 136.86h, Length: 84.96mm, Width: 89.73mm, Height: 105.36mm, Volume: 92524.10mm3, Support: 6225.09mm3, Due: 162.73h, Price: 492.87CNY, 
  ID: P41, Type: ('High', 'Long'), Arrival time: 138.22h, Length: 44.18mm, Width: 91.55mm, Height: 123.74mm, Volume: 57537.30mm3, Support: 14658.61mm3, Due: 165.44h, Price: 450.59CNY, 
Total price:16174.37CNY
