Within 144 hours, totally generated 34 parts (including 1 initial parts).,
  ID: P1, Type: ('High', 'Small'), Arrival time: 0.00h, Length: 46.54mm, Width: 34.94mm, Height: 118.46mm, Volume: 19757.48mm3, Support: 907.10mm3, Due: 23.87h, Price: 195.15CNY, 
  ID: P22, Type: ('High', 'Long'), Arrival time: 105.12h, Length: 77.67mm, Width: 45.86mm, Height: 122.26mm, Volume: 28252.21mm3, Support: 7014.15mm3, Due: 130.26h, Price: 327.92CNY, 
  ID: P23, Type: ('Low', 'Small'), Arrival time: 106.26h, Length: 57.09mm, Width: 55.80mm, Height: 85.40mm, Volume: 15958.33mm3, Support: 3131.05mm3, Due: 124.47h, Price: 215.29CNY, 
  ID: P24, Type: ('Low', 'Large'), Arrival time: 111.06h, Length: 99.32mm, Width: 99.32mm, Height: 93.23mm, Volume: 105669.83mm3, Support: 11131.77mm3, Due: 135.78h, Price: 553.84CNY, 
  ID: P25, Type: ('Low', 'Small'), Arrival time: 116.46h, Length: 62.45mm, Width: 50.34mm, Height: 87.50mm, Volume: 37620.39mm3, Support: 2540.24mm3, Due: 136.21h, Price: 276.99CNY, 
  ID: P26, Type: ('Low', 'Long'), Arrival time: 117.34h, Length: 54.74mm, Width: 97.65mm, Height: 71.00mm, Volume: 30329.25mm3, Support: 853.67mm3, Due: 133.88h, Price: 358.11CNY, 
  ID: P27, Type: ('High', 'Small'), Arrival time: 120.45h, Length: 42.03mm, Width: 43.86mm, Height: 122.01mm, Volume: 30951.90mm3, Support: 509.98mm3, Due: 145.51h, Price: 210.06CNY, 
  ID: P28, Type: ('High', 'Large'), Arrival time: 122.43h, Length: 96.88mm, Width: 84.99mm, Height: 109.65mm, Volume: 72216.10mm3, Support: 18556.97mm3, Due: 148.23h, Price: 498.91CNY, 
  ID: P29, Type: ('Low', 'Small'), Arrival time: 123.45h, Length: 58.74mm, Width: 53.80mm, Height: 76.33mm, Volume: 27690.96mm3, Support: 7094.71mm3, Due: 140.91h, Price: 249.68CNY, 
  ID: P30, Type: ('High', 'Large'), Arrival time: 126.92h, Length: 76.83mm, Width: 69.20mm, Height: 105.49mm, Volume: 55000.96mm3, Support: 1404.69mm3, Due: 150.59h, Price: 363.54CNY, 
  ID: P31, Type: ('High', 'Large'), Arrival time: 134.35h, Length: 71.64mm, Width: 69.19mm, Height: 119.71mm, Volume: 69919.08mm3, Support: 8431.50mm3, Due: 161.42h, Price: 397.59CNY, 
  ID: P32, Type: ('Low', 'Long'), Arrival time: 139.35h, Length: 44.98mm, Width: 76.96mm, Height: 67.55mm, Volume: 14684.82mm3, Support: 2457.10mm3, Due: 154.50h, Price: 264.76CNY, 
  ID: P33, Type: ('Low', 'Small'), Arrival time: 140.73h, Length: 34.53mm, Width: 51.90mm, Height: 73.67mm, Volume: 6757.24mm3, Support: 1406.67mm3, Due: 156.42h, Price: 173.21CNY, 
  ID: P34, Type: ('High', 'Long'), Arrival time: 141.42h, Length: 62.46mm, Width: 90.53mm, Height: 120.59mm, Volume: 76630.84mm3, Support: 15377.60mm3, Due: 169.21h, Price: 487.23CNY, 
Total price:11612.39CNY
