Within 144 hours, totally generated 32 parts (including 2 initial parts).,
  ID: P1, Type: ('High', 'Long'), Arrival time: 0.00h, Length: 57.37mm, Width: 67.39mm, Height: 101.62mm, Volume: 27732.10mm3, Support: 422.41mm3, Due: 21.49h, Price: 272.66CNY, 
  ID: P12, Type: ('High', 'Long'), Arrival time: 48.88h, Length: 60.15mm, Width: 93.25mm, Height: 129.54mm, Volume: 84703.13mm3, Support: 6203.13mm3, Due: 78.34h, Price: 500.18CNY, 
  ID: P13, Type: ('High', 'Large'), Arrival time: 52.00h, Length: 82.25mm, Width: 91.30mm, Height: 127.31mm, Volume: 91848.96mm3, Support: 23809.61mm3, Due: 81.98h, Price: 541.42CNY, 
  ID: P14, Type: ('High', 'Large'), Arrival time: 53.06h, Length: 72.27mm, Width: 72.64mm, Height: 123.41mm, Volume: 87449.19mm3, Support: 9578.63mm3, Due: 81.75h, Price: 441.46CNY, 
  ID: P15, Type: ('High', 'Small'), Arrival time: 70.01h, Length: 34.71mm, Width: 54.47mm, Height: 112.70mm, Volume: 27787.89mm3, Support: 7480.33mm3, Due: 93.55h, Price: 248.79CNY, 
  ID: P16, Type: ('High', 'Large'), Arrival time: 74.17h, Length: 95.24mm, Width: 72.56mm, Height: 106.49mm, Volume: 64285.81mm3, Support: 7372.53mm3, Due: 98.69h, Price: 453.80CNY, 
  ID: P17, Type: ('High', 'Long'), Arrival time: 75.02h, Length: 84.30mm, Width: 50.77mm, Height: 119.02mm, Volume: 72947.20mm3, Support: 5396.11mm3, Due: 102.06h, Price: 439.19CNY, 
  ID: P18, Type: ('High', 'Long'), Arrival time: 75.81h, Length: 76.80mm, Width: 55.85mm, Height: 106.94mm, Volume: 65296.70mm3, Support: 1370.63mm3, Due: 100.30h, Price: 385.66CNY, 
  ID: P19, Type: ('Low', 'Small'), Arrival time: 76.64h, Length: 34.50mm, Width: 50.30mm, Height: 92.73mm, Volume: 15108.53mm3, Support: 3129.83mm3, Due: 96.02h, Price: 194.66CNY, 
  ID: P20, Type: ('Low', 'Small'), Arrival time: 79.66h, Length: 34.91mm, Width: 35.82mm, Height: 92.64mm, Volume: 12797.86mm3, Support: 2734.97mm3, Due: 98.89h, Price: 143.86CNY, 
  ID: P21, Type: ('Low', 'Large'), Arrival time: 81.31h, Length: 87.16mm, Width: 71.70mm, Height: 71.69mm, Volume: 43085.19mm3, Support: 12670.45mm3, Due: 99.01h, Price: 376.56CNY, 
  ID: P22, Type: ('High', 'Small'), Arrival time: 88.83h, Length: 56.40mm, Width: 48.76mm, Height: 128.12mm, Volume: 49914.75mm3, Support: 10969.78mm3, Due: 116.26h, Price: 313.15CNY, 
  ID: P23, Type: ('Low', 'Long'), Arrival time: 119.52h, Length: 85.96mm, Width: 49.30mm, Height: 66.74mm, Volume: 26474.73mm3, Support: 2885.56mm3, Due: 135.19h, Price: 316.82CNY, 
  ID: P24, Type: ('Low', 'Small'), Arrival time: 120.90h, Length: 59.07mm, Width: 57.19mm, Height: 76.14mm, Volume: 17049.19mm3, Support: 3890.84mm3, Due: 137.65h, Price: 222.06CNY, 
  ID: P25, Type: ('High', 'Small'), Arrival time: 121.71h, Length: 57.95mm, Width: 40.96mm, Height: 126.19mm, Volume: 24869.61mm3, Support: 2060.19mm3, Due: 147.18h, Price: 247.85CNY, 
  ID: P26, Type: ('High', 'Small'), Arrival time: 121.72h, Length: 64.17mm, Width: 53.95mm, Height: 129.92mm, Volume: 28756.22mm3, Support: 1186.45mm3, Due: 148.00h, Price: 276.24CNY, 
  ID: P27, Type: ('Low', 'Large'), Arrival time: 122.06h, Length: 70.52mm, Width: 83.73mm, Height: 78.86mm, Volume: 35356.54mm3, Support: 1171.83mm3, Due: 140.20h, Price: 331.27CNY, 
  ID: P28, Type: ('High', 'Small'), Arrival time: 132.34h, Length: 44.13mm, Width: 55.52mm, Height: 106.27mm, Volume: 21141.40mm3, Support: 3323.10mm3, Due: 154.32h, Price: 228.19CNY, 
  ID: P29, Type: ('High', 'Long'), Arrival time: 138.46h, Length: 36.28mm, Width: 75.08mm, Height: 111.13mm, Volume: 21738.05mm3, Support: 408.82mm3, Due: 161.20h, Price: 288.35CNY, 
  ID: P30, Type: ('High', 'Small'), Arrival time: 140.49h, Length: 49.87mm, Width: 42.48mm, Height: 125.93mm, Volume: 34939.24mm3, Support: 3539.44mm3, Due: 166.52h, Price: 245.10CNY, 
  ID: P31, Type: ('Low', 'Large'), Arrival time: 141.56h, Length: 78.07mm, Width: 89.09mm, Height: 73.19mm, Volume: 39862.05mm3, Support: 3176.87mm3, Due: 159.06h, Price: 358.09CNY, 
  ID: P32, Type: ('High', 'Long'), Arrival time: 142.25h, Length: 91.46mm, Width: 63.26mm, Height: 129.37mm, Volume: 57931.41mm3, Support: 9270.80mm3, Due: 170.28h, Price: 443.66CNY, 
Total price:10708.75CNY
